nursery,parents,has_nurs,form,children,housing,finance,social,health,class
n40,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,very_recom
n41,usual,proper,complete,1,critical,convenient,slightly_prob,priority,priority
n42,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
n43,usual,proper,complete,1,critical,convenient,problematic,recommended,priority
n44,usual,proper,complete,1,critical,convenient,problematic,priority,priority
n45,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
n46,usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
n47,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
n48,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
n49,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,very_recom
n50,usual,proper,complete,1,critical,inconv,slightly_prob,priority,priority
n51,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
n52,usual,proper,complete,1,critical,inconv,problematic,recommended,priority
n53,usual,proper,complete,1,critical,inconv,problematic,priority,priority
n54,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
n55,usual,proper,complete,2,convenient,convenient,nonprob,recommended,very_recom
n56,usual,proper,complete,2,convenient,convenient,nonprob,priority,priority
n57,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
n58,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,very_recom
n59,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
n60,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
n61,usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
n62,usual,proper,complete,2,convenient,convenient,problematic,priority,priority
n63,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
n64,usual,proper,complete,2,convenient,inconv,nonprob,recommended,very_recom
n65,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
n66,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
n67,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,very_recom
n68,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,priority
n69,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
n70,usual,proper,complete,2,convenient,inconv,problematic,recommended,priority
n71,usual,proper,complete,2,convenient,inconv,problematic,priority,priority
n72,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
n73,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,very_recom
n74,usual,proper,complete,2,less_conv,convenient,nonprob,priority,priority
n75,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
n76,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,very_recom
n77,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
n78,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
n79,usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
n80,usual,proper,complete,2,less_conv,convenient,problematic,priority,priority
n81,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recom
n82,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,very_recom
n83,usual,proper,complete,2,less_conv,inconv,nonprob,priority,priority
n84,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recom
n85,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,very_recom
n86,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,priority
n87,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
n88,usual,proper,complete,2,less_conv,inconv,problematic,recommended,priority
n89,usual,proper,complete,2,less_conv,inconv,problematic,priority,priority
n90,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
n91,usual,proper,complete,2,critical,convenient,nonprob,recommended,priority
n92,usual,proper,complete,2,critical,convenient,nonprob,priority,priority
n93,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
n94,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
n95,usual,proper,complete,2,critical,convenient,slightly_prob,priority,priority
n96,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
n97,usual,proper,complete,2,critical,convenient,problematic,recommended,priority
n98,usual,proper,complete,2,critical,convenient,problematic,priority,priority
n99,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
n100,usual,proper,complete,2,critical,inconv,nonprob,recommended,priority
n101,usual,proper,complete,2,critical,inconv,nonprob,priority,priority
n102,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
n103,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,priority
n104,usual,proper,complete,2,critical,inconv,slightly_prob,priority,priority
n105,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
n106,usual,proper,complete,2,critical,inconv,problematic,recommended,priority
n107,usual,proper,complete,2,critical,inconv,problematic,priority,priority
n108,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
n109,usual,proper,complete,3,convenient,convenient,nonprob,recommended,very_recom
n110,usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
n111,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
n112,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,very_recom
n113,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,priority
n114,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
n115,usual,proper,complete,3,convenient,convenient,problematic,recommended,priority
n116,usual,proper,complete,3,convenient,convenient,problematic,priority,priority
n117,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
n118,usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
n119,usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
n120,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
n121,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,priority
n122,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
n123,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
n124,usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
n125,usual,proper,complete,3,convenient,inconv,problematic,priority,priority
n126,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
n127,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,priority
n128,usual,proper,complete,3,less_conv,convenient,nonprob,priority,priority
n129,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
n130,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
n131,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,priority
n132,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
n133,usual,proper,complete,3,less_conv,convenient,problematic,recommended,priority
n134,usual,proper,complete,3,less_conv,convenient,problematic,priority,priority
n135,usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
n136,usual,proper,complete,3,less_conv,inconv,nonprob,recommended,priority
n137,usual,proper,complete,3,less_conv,inconv,nonprob,priority,priority
n138,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
n139,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,priority
n140,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
n141,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
n142,usual,proper,complete,3,less_conv,inconv,problematic,recommended,priority
n143,usual,proper,complete,3,less_conv,inconv,problematic,priority,priority
n144,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recom
n145,usual,proper,complete,3,critical,convenient,nonprob,recommended,priority
n146,usual,proper,complete,3,critical,convenient,nonprob,priority,priority
n147,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
n148,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
n149,usual,proper,complete,3,critical,convenient,slightly_prob,priority,priority
n150,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
n151,usual,proper,complete,3,critical,convenient,problematic,recommended,priority
n152,usual,proper,complete,3,critical,convenient,problematic,priority,priority
n153,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recom
n154,usual,proper,complete,3,critical,inconv,nonprob,recommended,priority
n155,usual,proper,complete,3,critical,inconv,nonprob,priority,priority
n156,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
n157,usual,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
n158,usual,proper,complete,3,critical,inconv,slightly_prob,priority,priority
n159,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
n160,usual,proper,complete,3,critical,inconv,problematic,recommended,priority
n161,usual,proper,complete,3,critical,inconv,problematic,priority,priority
n162,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
n163,usual,proper,complete,more,convenient,convenient,nonprob,recommended,very_recom
n164,usual,proper,complete,more,convenient,convenient,nonprob,priority,priority
n165,usual,proper,complete,more,convenient,convenient,nonprob,not_recom,not_recom
n166,usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,very_recom
n167,usual,proper,complete,more,convenient,convenient,slightly_prob,priority,priority
n168,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recom
n169,usual,proper,complete,more,convenient,convenient,problematic,recommended,priority
n170,usual,proper,complete,more,convenient,convenient,problematic,priority,priority
n171,usual,proper,complete,more,convenient,convenient,problematic,not_recom,not_recom
n172,usual,proper,complete,more,convenient,inconv,nonprob,recommended,priority
n173,usual,proper,complete,more,convenient,inconv,nonprob,priority,priority
n174,usual,proper,complete,more,convenient,inconv,nonprob,not_recom,not_recom
n175,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,priority
n176,usual,proper,complete,more,convenient,inconv,slightly_prob,priority,priority
n177,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,not_recom
n178,usual,proper,complete,more,convenient,inconv,problematic,recommended,priority
n179,usual,proper,complete,more,convenient,inconv,problematic,priority,priority
n180,usual,proper,complete,more,convenient,inconv,problematic,not_recom,not_recom
n181,usual,proper,complete,more,less_conv,convenient,nonprob,recommended,priority
n182,usual,proper,complete,more,less_conv,convenient,nonprob,priority,priority
n183,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
n184,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,priority
n185,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,priority
n186,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
n187,usual,proper,complete,more,less_conv,convenient,problematic,recommended,priority
n188,usual,proper,complete,more,less_conv,convenient,problematic,priority,priority
n189,usual,proper,complete,more,less_conv,convenient,problematic,not_recom,not_recom
n190,usual,proper,complete,more,less_conv,inconv,nonprob,recommended,priority
n191,usual,proper,complete,more,less_conv,inconv,nonprob,priority,priority
n192,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
n193,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,priority
n194,usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,priority
n195,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
n196,usual,proper,complete,more,less_conv,inconv,problematic,recommended,priority
n197,usual,proper,complete,more,less_conv,inconv,problematic,priority,priority
n198,usual,proper,complete,more,less_conv,inconv,problematic,not_recom,not_recom
n199,usual,proper,complete,more,critical,convenient,nonprob,recommended,priority
n200,usual,proper,complete,more,critical,convenient,nonprob,priority,priority
n201,usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recom
n202,usual,proper,complete,more,critical,convenient,slightly_prob,recommended,priority
n203,usual,proper,complete,more,critical,convenient,slightly_prob,priority,priority
n204,usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,not_recom
n205,usual,proper,complete,more,critical,convenient,problematic,recommended,priority
n206,usual,proper,complete,more,critical,convenient,problematic,priority,priority
n207,usual,proper,complete,more,critical,convenient,problematic,not_recom,not_recom
n208,usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
n209,usual,proper,complete,more,critical,inconv,nonprob,priority,priority
n210,usual,proper,complete,more,critical,inconv,nonprob,not_recom,not_recom
n211,usual,proper,complete,more,critical,inconv,slightly_prob,recommended,priority
n212,usual,proper,complete,more,critical,inconv,slightly_prob,priority,priority
n213,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recom
n214,usual,proper,complete,more,critical,inconv,problematic,recommended,priority
n215,usual,proper,complete,more,critical,inconv,problematic,priority,priority
n216,usual,proper,complete,more,critical,inconv,problematic,not_recom,not_recom
n217,usual,proper,completed,1,convenient,convenient,nonprob,recommended,very_recom
n218,usual,proper,completed,1,convenient,convenient,nonprob,priority,priority
n219,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
n220,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,very_recom
n221,usual,proper,completed,1,convenient,convenient,slightly_prob,priority,priority
n222,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
n223,usual,proper,completed,1,convenient,convenient,problematic,recommended,priority
n224,usual,proper,completed,1,convenient,convenient,problematic,priority,priority
n225,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
n226,usual,proper,completed,1,convenient,inconv,nonprob,recommended,very_recom
n227,usual,proper,completed,1,convenient,inconv,nonprob,priority,priority
n228,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
n229,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,very_recom
n230,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
n231,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
n232,usual,proper,completed,1,convenient,inconv,problematic,recommended,priority
n233,usual,proper,completed,1,convenient,inconv,problematic,priority,priority
n234,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recom
n235,usual,proper,completed,1,less_conv,convenient,nonprob,recommended,very_recom
n236,usual,proper,completed,1,less_conv,convenient,nonprob,priority,priority
n237,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recom
n238,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,very_recom
n239,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
n240,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
n241,usual,proper,completed,1,less_conv,convenient,problematic,recommended,priority
n242,usual,proper,completed,1,less_conv,convenient,problematic,priority,priority
n243,usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
n244,usual,proper,completed,1,less_conv,inconv,nonprob,recommended,very_recom
n245,usual,proper,completed,1,less_conv,inconv,nonprob,priority,priority
n246,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recom
n247,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,very_recom
n248,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
n249,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
n250,usual,proper,completed,1,less_conv,inconv,problematic,recommended,priority
n251,usual,proper,completed,1,less_conv,inconv,problematic,priority,priority
n252,usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
n253,usual,proper,completed,1,critical,convenient,nonprob,recommended,priority
n254,usual,proper,completed,1,critical,convenient,nonprob,priority,priority
n255,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
n256,usual,proper,completed,1,critical,convenient,slightly_prob,recommended,priority
n257,usual,proper,completed,1,critical,convenient,slightly_prob,priority,priority
n258,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
n259,usual,proper,completed,1,critical,convenient,problematic,recommended,priority
n260,usual,proper,completed,1,critical,convenient,problematic,priority,priority
n261,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recom
n262,usual,proper,completed,1,critical,inconv,nonprob,recommended,priority
n263,usual,proper,completed,1,critical,inconv,nonprob,priority,priority
n264,usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recom
n265,usual,proper,completed,1,critical,inconv,slightly_prob,recommended,priority
n266,usual,proper,completed,1,critical,inconv,slightly_prob,priority,priority
n267,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
n268,usual,proper,completed,1,critical,inconv,problematic,recommended,priority
n269,usual,proper,completed,1,critical,inconv,problematic,priority,priority
n270,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recom
n271,usual,proper,completed,2,convenient,convenient,nonprob,recommended,very_recom
n272,usual,proper,completed,2,convenient,convenient,nonprob,priority,priority
n273,usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recom
n274,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,very_recom
n275,usual,proper,completed,2,convenient,convenient,slightly_prob,priority,priority
n276,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
n277,usual,proper,completed,2,convenient,convenient,problematic,recommended,priority
n278,usual,proper,completed,2,convenient,convenient,problematic,priority,priority
n279,usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recom
n280,usual,proper,completed,2,convenient,inconv,nonprob,recommended,very_recom
n281,usual,proper,completed,2,convenient,inconv,nonprob,priority,priority
n282,usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recom
n283,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
n284,usual,proper,completed,2,convenient,inconv,slightly_prob,priority,priority
n285,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recom
n286,usual,proper,completed,2,convenient,inconv,problematic,recommended,priority
n287,usual,proper,completed,2,convenient,inconv,problematic,priority,priority
n288,usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recom
n289,usual,proper,completed,2,less_conv,convenient,nonprob,recommended,very_recom
n290,usual,proper,completed,2,less_conv,convenient,nonprob,priority,priority
n291,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
n292,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,very_recom
n293,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,priority
n294,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recom
n295,usual,proper,completed,2,less_conv,convenient,problematic,recommended,priority
n296,usual,proper,completed,2,less_conv,convenient,problematic,priority,priority
n297,usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recom
n298,usual,proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
n299,usual,proper,completed,2,less_conv,inconv,nonprob,priority,priority
n300,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
n301,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,very_recom
n302,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,priority
n303,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recom
n304,usual,proper,completed,2,less_conv,inconv,problematic,recommended,priority
n305,usual,proper,completed,2,less_conv,inconv,problematic,priority,priority
n306,usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
n307,usual,proper,completed,2,critical,convenient,nonprob,recommended,priority
n308,usual,proper,completed,2,critical,convenient,nonprob,priority,priority
n309,usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
n310,usual,proper,completed,2,critical,convenient,slightly_prob,recommended,priority
n311,usual,proper,completed,2,critical,convenient,slightly_prob,priority,priority
n312,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
n313,usual,proper,completed,2,critical,convenient,problematic,recommended,priority
n314,usual,proper,completed,2,critical,convenient,problematic,priority,priority
n315,usual,proper,completed,2,critical,convenient,problematic,not_recom,not_recom
n316,usual,proper,completed,2,critical,inconv,nonprob,recommended,priority
n317,usual,proper,completed,2,critical,inconv,nonprob,priority,priority
n318,usual,proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
n319,usual,proper,completed,2,critical,inconv,slightly_prob,recommended,priority
n320,usual,proper,completed,2,critical,inconv,slightly_prob,priority,priority
n321,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
n322,usual,proper,completed,2,critical,inconv,problematic,recommended,priority
n323,usual,proper,completed,2,critical,inconv,problematic,priority,priority
n324,usual,proper,completed,2,critical,inconv,problematic,not_recom,not_recom
n325,usual,proper,completed,3,convenient,convenient,nonprob,recommended,very_recom
n326,usual,proper,completed,3,convenient,convenient,nonprob,priority,priority
n327,usual,proper,completed,3,convenient,convenient,nonprob,not_recom,not_recom
n328,usual,proper,completed,3,convenient,convenient,slightly_prob,recommended,very_recom
n329,usual,proper,completed,3,convenient,convenient,slightly_prob,priority,priority
n330,usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
n331,usual,proper,completed,3,convenient,convenient,problematic,recommended,priority
n332,usual,proper,completed,3,convenient,convenient,problematic,priority,priority
n333,usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recom
n334,usual,proper,completed,3,convenient,inconv,nonprob,recommended,priority
n335,usual,proper,completed,3,convenient,inconv,nonprob,priority,priority
n336,usual,proper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
n337,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended,priority
n338,usual,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
n339,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recom
n340,usual,proper,completed,3,convenient,inconv,problematic,recommended,priority
n341,usual,proper,completed,3,convenient,inconv,problematic,priority,priority
n342,usual,proper,completed,3,convenient,inconv,problematic,not_recom,not_recom
n343,usual,proper,completed,3,less_conv,convenient,nonprob,recommended,priority
n344,usual,proper,completed,3,less_conv,convenient,nonprob,priority,priority
n345,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
n346,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
n347,usual,proper,completed,3,less_conv,convenient,slightly_prob,priority,priority
n348,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recom
n349,usual,proper,completed,3,less_conv,convenient,problematic,recommended,priority
n350,usual,proper,completed,3,less_conv,convenient,problematic,priority,priority
n351,usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
n352,usual,proper,completed,3,less_conv,inconv,nonprob,recommended,priority
n353,usual,proper,completed,3,less_conv,inconv,nonprob,priority,priority
n354,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
n355,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
n356,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority,priority
n357,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
n358,usual,proper,completed,3,less_conv,inconv,problematic,recommended,priority
n359,usual,proper,completed,3,less_conv,inconv,problematic,priority,priority
n360,usual,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recom
n361,usual,proper,completed,3,critical,convenient,nonprob,recommended,priority
n362,usual,proper,completed,3,critical,convenient,nonprob,priority,priority
n363,usual,proper,completed,3,critical,convenient,nonprob,not_recom,not_recom
n364,usual,proper,completed,3,critical,convenient,slightly_prob,recommended,priority
n365,usual,proper,completed,3,critical,convenient,slightly_prob,priority,priority
n366,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom,not_recom
n367,usual,proper,completed,3,critical,convenient,problematic,recommended,priority
n368,usual,proper,completed,3,critical,convenient,problematic,priority,priority
n369,usual,proper,completed,3,critical,convenient,problematic,not_recom,not_recom
n370,usual,proper,completed,3,critical,inconv,nonprob,recommended,priority
n371,usual,proper,completed,3,critical,inconv,nonprob,priority,priority
n372,usual,proper,completed,3,critical,inconv,nonprob,not_recom,not_recom
n373,usual,proper,completed,3,critical,inconv,slightly_prob,recommended,priority
n374,usual,proper,completed,3,critical,inconv,slightly_prob,priority,priority
n375,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom,not_recom
n376,usual,proper,completed,3,critical,inconv,problematic,recommended,priority
n377,usual,proper,completed,3,critical,inconv,problematic,priority,priority
n378,usual,proper,completed,3,critical,inconv,problematic,not_recom,not_recom
n379,usual,proper,completed,more,convenient,convenient,nonprob,recommended,very_recom
n380,usual,proper,completed,more,convenient,convenient,nonprob,priority,priority
n381,usual,proper,completed,more,convenient,convenient,nonprob,not_recom,not_recom
n382,usual,proper,completed,more,convenient,convenient,slightly_prob,recommended,very_recom
n383,usual,proper,completed,more,convenient,convenient,slightly_prob,priority,priority
n384,usual,proper,completed,more,convenient,convenient,slightly_prob,not_recom,not_recom
n385,usual,proper,completed,more,convenient,convenient,problematic,recommended,priority
n386,usual,proper,completed,more,convenient,convenient,problematic,priority,priority
n387,usual,proper,completed,more,convenient,convenient,problematic,not_recom,not_recom
n388,usual,proper,completed,more,convenient,inconv,nonprob,recommended,priority
n389,usual,proper,completed,more,convenient,inconv,nonprob,priority,priority
n390,usual,proper,completed,more,convenient,inconv,nonprob,not_recom,not_recom
n391,usual,proper,completed,more,convenient,inconv,slightly_prob,recommended,priority
n392,usual,proper,completed,more,convenient,inconv,slightly_prob,priority,priority
n393,usual,proper,completed,more,convenient,inconv,slightly_prob,not_recom,not_recom
n394,usual,proper,completed,more,convenient,inconv,problematic,recommended,priority
n395,usual,proper,completed,more,convenient,inconv,problematic,priority,priority
