object,X2,X8,X3,X5,X1,X8.1,X13,X0,X6,X6.1,X10,X8.2,X0.1,X8.3,X0.2,X8.4,19
L37,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,15
L38,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,6
L39,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,4
L40,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,23
L41,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,4
L42,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,23
L43,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,6
L44,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,21
L45,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,23
L46,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,22
L47,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9,6
L48,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,17
L49,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8,18
L50,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3,24
L51,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,11
L52,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7,24
L53,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5,9
L54,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8,18
L55,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8,16
L56,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,16
L57,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,3
L58,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,2
L59,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,11
L60,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,13
L61,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,2
L62,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,4
L63,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,23
L64,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,7
L65,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,11
L66,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,7
L67,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,4
L68,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,24
L69,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,7
L70,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,16
L71,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,16
L72,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,16
L73,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,9
L74,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,9
L75,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,3
L76,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,17
L77,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,12
L78,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,0
L79,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,13
L80,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,12
L81,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,15
L82,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,2
L83,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,15
L84,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,13
L85,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,22
L86,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,21
L87,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,21
L88,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,12
L89,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,4
L90,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,13
L91,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,24
L92,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,22
L93,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,14
L94,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,13
L95,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,7
L96,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,14
L97,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,13
L98,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,7
L99,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,20
L100,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,24
L101,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,18
L102,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,18
L103,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,19
L104,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,2
L105,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,21
L106,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,19
L107,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,10
L108,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,3
L109,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,22
L110,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,8
L111,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,4
L112,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,5
L113,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,8
L114,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,7
L115,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,20
L116,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,2
L117,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,5
L118,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,0
L119,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,25
L120,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,23
L121,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,13
L122,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,17
L123,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,1
L124,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,1
L125,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,20
L126,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,9
L127,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,5
L128,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,12
L129,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,7
L130,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,0
L131,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,14
L132,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,4
L133,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,20
L134,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,0
L135,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,23
L136,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,18
L137,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,9
L138,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,10
L139,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,8
L140,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,15
L141,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,19
L142,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,2
L143,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,7
L144,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,0
L145,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,11
L146,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,19
L147,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,0
L148,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,21
L149,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,20
L150,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,8
L151,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,25
L152,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,21
L153,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,12
L154,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,11
L155,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,14
L156,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,1
L157,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,0
L158,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,10
L159,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,7
L160,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,19
L161,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,22
L162,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,5
L163,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,0
L164,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,4
L165,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,12
L166,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,1
L167,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,12
L168,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,24
L169,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,21
L170,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,18
L171,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,2
L172,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,7
L173,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,20
L174,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,15
L175,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,25
L176,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,4
L177,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,13
L178,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,15
L179,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,7
L180,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,19
L181,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,1
L182,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,20
L183,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,18
L184,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,5
L185,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,9
L186,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,17
L187,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,4
L188,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,15
L189,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,8
L190,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,10
L191,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,3
L192,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,1
L193,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,7
L194,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,12
L195,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,15
L196,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,14
L197,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,18
L198,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,10
L199,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,21
L200,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,5
L201,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,24
L202,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,3
L203,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,25
L204,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,16
L205,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,18
L206,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,1
L207,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,10
L208,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,21
L209,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,1
L210,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,24
L211,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,14
L212,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,25
L213,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,11
L214,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,9
L215,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,25
L216,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,0
L217,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,11
L218,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,9
L219,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,16
L220,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,13
L221,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,25
L222,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,4
L223,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,9
L224,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,3
L225,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,14
L226,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,11
L227,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,21
L228,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,23
L229,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,9
L230,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,13
L231,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,7
L232,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,0
L233,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,15
L234,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,0
L235,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,5
L236,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,23
L237,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,3
L238,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,21
L239,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,15
L240,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,5
L241,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,15
L242,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,24
L243,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,22
L244,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,15
L245,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,9
L246,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,4
L247,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,18
L248,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,4
L249,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,1
L250,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,8
L251,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,18
L252,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,18
L253,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,2
L254,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,12
L255,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,15
L256,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,17
L257,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,20
L258,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,20
L259,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,3
L260,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,20
L261,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,9
L262,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,25
L263,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,5
L264,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,21
L265,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,12
L266,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,20
L267,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,1
L268,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,11
L269,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,19
L270,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,3
L271,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,19
L272,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,14
L273,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,19
L274,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,20
L275,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,3
L276,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,17
L277,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,6
L278,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,3
L279,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,18
L280,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,18
L281,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,12
L282,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,12
L283,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,3
L284,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,25
L285,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,22
L286,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,2
L287,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,10
L288,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,9
L289,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,0
L290,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,3
L291,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,2
L292,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,21
L293,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,18
L294,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,5
L295,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,0
L296,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,1
L297,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,13
L298,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,20
L299,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,18
L300,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,16
L301,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,5
L302,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,5
L303,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,23
L304,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,0
L305,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,1
L306,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,14
L307,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,9
L308,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,7
L309,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,12
L310,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,8
L311,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,22
L312,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,13
L313,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,0
L314,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,18
L315,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,15
L316,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,3
L317,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,12
L318,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,19
L319,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,11
L320,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,23
L321,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,6
L322,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,3
L323,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,4
L324,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,13
L325,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,6
L326,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,21
L327,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,0
L328,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,4
L329,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,10
L330,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,12
L331,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,11
L332,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,19
L333,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,6
L334,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,9
L335,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,5
L336,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,22
L337,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,0
L338,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,10
L339,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,15
L340,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,12
L341,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,14
L342,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,18
L343,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,2
L344,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,14
L345,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,25
L346,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,23
L347,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,22
L348,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,1
L349,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,2
L350,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,5
L351,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,8
L352,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,1
L353,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,15
L354,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,10
L355,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5,20
L356,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,13
L357,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,24
L358,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8,8
L359,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9,16
L360,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8,16
L361,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,25
L362,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,5
L363,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,12
L364,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8,3
L365,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,13
L366,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,22
L367,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8,20
L368,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6,6
L369,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13,6
L370,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8,14
L371,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,20
L372,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8,10
L373,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,22
L374,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8,10
