shuttle,A1,A2,A3,A4,A5,A6,A7,A8,A9,class
SH134,37,0,78,-5,8,0,41,70,30,1
SH135,57,3,91,0,56,0,34,34,0,1
SH136,37,0,76,0,38,14,38,37,0,1
SH137,37,0,77,0,8,-8,41,70,28,1
SH138,37,0,76,-5,28,6,39,47,8,1
SH139,49,4,84,0,50,2,35,35,0,1
SH140,37,0,77,5,-12,-10,41,90,50,1
SH141,50,-4,85,0,50,0,35,36,2,1
SH142,51,-2,87,0,52,5,36,35,0,1
SH143,37,0,93,0,12,7,56,81,24,1
SH144,56,0,82,1,54,-12,26,28,2,1
SH145,43,0,81,3,42,-4,38,40,2,1
SH146,55,-2,108,0,54,-3,52,53,2,1
SH147,37,0,81,-1,36,-18,43,44,2,1
SH148,45,-1,78,-3,44,-5,33,34,2,1
SH149,41,0,77,7,38,0,36,38,2,1
SH150,48,1,87,0,46,0,39,41,2,1
SH151,43,0,81,0,44,15,37,37,0,1
SH152,56,0,96,0,52,-3,40,44,4,4
SH153,37,0,92,0,24,3,55,69,14,1
SH154,46,1,83,0,44,-9,37,39,2,1
SH155,49,-2,77,3,46,-30,28,30,2,1
SH156,45,0,83,0,44,2,38,39,0,1
SH157,56,0,81,0,-20,-4,25,102,76,4
SH158,48,-3,109,-6,46,0,61,62,2,1
SH159,37,0,83,0,34,5,46,49,4,1
SH160,50,-4,83,0,50,0,33,34,2,1
SH161,47,-2,75,0,46,0,28,28,0,1
SH162,48,1,81,-1,46,0,33,34,2,1
SH163,55,0,82,0,-42,-9,26,126,100,4
SH164,50,3,107,0,50,0,57,58,0,1
SH165,38,0,102,-4,34,0,65,69,4,1
SH166,37,0,106,17,28,0,69,77,8,1
SH167,37,0,77,0,-6,-19,41,85,44,1
SH168,37,0,79,0,26,-22,42,53,12,1
SH169,43,0,84,0,44,13,41,41,0,1
SH170,36,-1,81,0,36,0,45,45,0,1
SH171,45,1,80,0,46,31,35,34,0,1
SH172,55,0,78,0,0,-3,23,78,56,4
SH173,58,5,88,0,56,0,30,31,2,1
SH174,48,0,88,-4,46,0,40,41,2,1
SH175,105,-1,106,2,70,0,2,36,34,5
SH176,54,-1,86,-1,54,-2,32,32,0,1
SH177,56,4,96,0,52,10,40,44,4,4
SH178,79,2,83,0,-42,-19,4,126,122,5
SH179,37,0,97,0,24,-30,60,73,14,1
SH180,46,-3,109,2,46,0,63,63,0,1
SH181,37,0,78,0,16,-11,42,63,22,1
SH182,37,0,78,0,12,-10,41,65,24,1
SH183,56,0,78,5,-22,0,22,101,80,4
SH184,55,0,83,5,-24,0,27,108,82,4
SH185,54,2,80,0,54,0,26,26,0,1
SH186,55,0,77,-2,28,0,21,48,28,4
SH187,37,0,104,-9,28,0,67,75,8,1
SH188,55,-1,79,0,16,0,23,63,40,4
SH189,43,-3,86,0,42,-16,42,44,2,1
SH190,41,-1,89,0,38,-14,48,50,2,1
SH191,39,0,107,-2,38,0,68,68,0,1
SH192,46,0,107,0,46,4,61,60,0,1
SH193,37,4,76,0,34,-10,39,43,4,1
SH194,44,1,76,0,44,8,32,32,0,1
SH195,53,0,79,0,54,14,26,24,0,1
SH196,44,0,81,-1,44,5,37,37,0,1
SH197,56,3,99,0,38,0,43,60,18,4
SH198,56,0,93,-7,50,0,37,44,6,4
SH199,37,0,75,-2,34,0,38,41,2,1
SH200,52,4,84,-1,52,-2,31,32,0,1
SH201,80,0,85,6,-40,10,5,126,122,5
SH202,37,0,76,0,36,4,39,40,2,1
SH203,55,0,92,0,-4,22,36,97,60,4
SH204,44,2,75,0,44,11,31,31,0,1
SH205,43,-5,83,0,42,-9,39,41,2,1
SH206,41,-1,76,0,38,-24,35,37,2,1
SH207,45,0,86,0,44,-10,41,42,2,1
SH208,55,0,77,0,6,-11,22,72,50,4
SH209,67,-2,110,0,68,0,43,43,0,1
SH210,37,-67,106,0,36,31,69,69,0,1
SH211,56,0,108,0,54,-14,52,53,2,1
SH212,42,0,86,-3,42,0,44,44,0,1
SH213,56,0,84,0,54,-19,28,30,2,1
SH214,38,2,80,0,38,4,42,41,0,1
SH215,45,0,86,0,44,-3,41,42,2,1
SH216,44,0,83,-1,44,0,38,39,0,1
SH217,45,-2,83,0,44,-7,37,39,2,1
SH218,53,-1,88,0,54,4,35,34,0,1
SH219,51,0,83,0,52,19,31,31,0,1
SH220,41,0,81,0,38,-3,41,43,2,1
SH221,46,0,88,0,46,0,41,41,0,1
SH222,43,0,77,0,42,0,34,36,2,1
SH223,45,2,76,-3,44,-5,31,32,0,1
SH224,41,1,97,0,42,4,55,55,0,1
SH225,37,0,81,2,26,0,44,55,10,1
SH226,83,0,86,0,-4,0,3,92,88,5
SH227,56,0,81,4,-22,0,25,104,80,4
SH228,43,0,87,0,42,-6,44,46,2,1
SH229,56,4,98,-4,42,0,42,57,14,4
SH230,46,2,78,0,46,9,32,32,0,1
SH231,37,0,79,0,26,-4,42,53,12,1
SH232,43,-1,83,0,42,-6,39,41,2,1
SH233,37,0,83,1,24,0,46,59,14,1
SH234,55,0,95,-2,50,0,40,46,6,4
SH235,56,3,89,0,56,0,33,32,0,1
SH236,37,0,78,0,0,-11,42,78,36,1
SH237,48,1,87,-6,46,-4,39,41,2,1
SH238,37,0,90,0,30,9,53,59,6,1
SH239,55,0,96,0,46,9,41,50,8,4
SH240,51,-3,84,4,52,1,33,32,0,1
SH241,37,0,78,0,12,11,41,65,24,1
SH242,37,0,97,-6,34,0,59,63,4,1
SH243,45,-1,77,2,44,0,32,33,0,1
SH244,49,0,84,0,50,18,35,35,0,1
SH245,53,0,81,4,52,-22,28,29,2,1
SH246,37,2,90,0,28,0,53,62,8,1
SH247,37,0,77,1,36,0,41,41,0,1
SH248,70,57,82,0,-42,-4,12,126,114,2
SH249,61,-2,111,0,60,0,50,52,2,1
SH250,59,0,86,0,60,21,28,27,0,1
SH251,49,0,95,3,50,4,46,46,0,1
SH252,45,2,86,6,44,0,41,42,2,1
SH253,45,0,79,0,46,6,33,32,0,1
SH254,56,0,78,0,44,1,22,34,12,4
SH255,55,-3,96,0,54,-3,41,42,2,1
SH256,49,0,78,0,50,3,29,29,0,1
SH257,39,3,77,0,38,0,38,38,0,1
SH258,55,-1,79,-8,20,-13,23,58,34,4
SH259,56,0,86,0,56,15,31,30,0,1
SH260,37,0,81,0,18,-26,44,63,18,1
SH261,41,0,82,-2,38,-3,41,43,2,1
SH262,45,-3,88,0,44,0,44,44,0,1
SH263,37,0,83,0,8,24,46,75,30,1
SH264,43,0,77,0,42,-8,34,36,2,1
SH265,84,6,89,0,6,-6,5,84,78,5
SH266,37,0,79,-1,6,-23,43,74,32,1
SH267,37,0,81,0,38,7,43,42,0,1
SH268,43,0,77,0,42,-19,34,35,2,1
SH269,56,-1,98,4,50,23,42,49,6,4
SH270,50,1,78,-2,50,0,28,29,2,1
SH271,39,3,86,0,38,0,48,48,0,1
SH272,43,0,81,0,42,-10,37,39,2,1
SH273,37,0,79,0,36,9,42,43,2,1
SH274,58,-4,91,0,56,0,33,34,0,1
SH275,45,0,93,2,44,0,49,50,0,1
SH276,38,3,76,0,38,8,38,37,0,1
SH277,37,0,79,-3,36,-1,41,43,2,1
SH278,79,6,83,1,-40,13,4,124,120,5
SH279,36,-1,76,0,36,0,39,39,0,1
SH280,85,-3,88,0,2,-25,3,86,82,5
SH281,37,3,77,0,36,0,41,41,0,1
SH282,37,0,77,0,26,-19,41,52,10,1
SH283,45,0,79,0,46,14,34,33,0,1
SH284,54,4,77,0,28,0,23,48,26,4
SH285,43,-5,77,0,44,19,34,33,0,1
SH286,41,0,83,2,38,-1,42,44,2,1
SH287,43,0,77,10,42,-34,34,36,2,1
SH288,56,2,81,4,-4,0,25,86,62,4
SH289,55,0,82,0,-32,9,26,115,90,4
SH290,37,0,103,0,24,16,66,80,14,1
SH291,50,1,90,3,50,0,39,41,2,1
SH292,45,0,84,8,44,-8,39,41,2,1
SH293,48,0,89,4,46,-7,41,42,2,1
SH294,85,0,88,-3,6,0,3,83,80,5
SH295,47,-2,106,0,46,0,59,60,0,1
SH296,37,-6,78,0,10,0,42,68,26,1
SH297,37,-38,106,-104,30,-17,69,75,6,3
SH298,58,0,91,2,56,0,33,34,2,1
SH299,46,0,78,-7,46,5,32,32,0,1
SH300,55,0,95,-2,50,-10,40,46,6,4
SH301,56,0,82,0,56,10,26,25,0,1
SH302,55,0,92,0,46,-3,37,46,8,4
SH303,39,-2,86,0,38,0,46,47,0,1
SH304,51,2,81,-5,50,0,30,32,2,1
SH305,37,0,75,0,20,11,38,54,16,1
SH306,41,-2,80,0,38,-20,39,41,2,1
SH307,53,0,86,0,52,-10,33,34,2,1
SH308,46,2,88,0,46,3,42,41,0,1
SH309,37,0,78,0,6,-4,41,73,32,1
SH310,44,0,79,-2,44,0,35,35,0,1
SH311,38,-3,76,0,38,0,38,37,0,1
SH312,52,4,91,0,52,0,38,39,0,1
SH313,37,0,93,0,16,4,55,77,22,1
SH314,56,0,77,0,-22,23,21,100,80,4
SH315,44,4,82,-7,44,1,38,38,0,1
SH316,37,0,79,-4,24,0,42,55,14,1
SH317,46,0,87,-7,46,0,41,41,0,1
SH318,52,-3,86,0,52,-4,33,34,0,1
SH319,41,0,79,0,38,0,39,41,2,1
SH320,56,0,80,0,54,-15,24,26,2,1
SH321,82,1,86,0,-6,0,3,94,90,5
SH322,60,-5,111,0,60,0,50,51,2,1
SH323,44,1,88,0,44,4,44,44,0,1
SH324,46,1,87,0,46,7,41,41,0,1
SH325,52,-3,88,0,52,0,35,36,0,1
SH326,37,0,78,0,-2,-6,42,81,40,1
SH327,43,0,78,-7,42,0,35,37,2,1
SH328,37,0,84,0,18,-25,47,66,18,1
SH329,42,-4,85,0,42,0,43,44,2,1
SH330,43,0,79,3,42,0,37,38,2,1
SH331,78,-2,82,0,-40,0,4,123,120,5
SH332,48,0,88,0,46,0,39,41,2,1
SH333,55,0,90,0,54,0,36,36,0,1
SH334,78,0,82,-2,-40,0,4,123,120,5
SH335,39,1,77,2,38,0,38,38,0,1
SH336,43,1,77,0,42,0,34,35,2,1
SH337,107,-2,108,-2,70,-28,1,38,38,5
SH338,55,-1,81,-6,54,-8,26,27,0,1
SH339,41,0,106,0,38,-28,64,67,2,1
SH340,58,-4,85,0,56,0,28,28,0,1
SH341,37,0,76,0,34,13,39,42,4,1
SH342,42,-1,78,0,42,0,36,37,2,1
SH343,42,5,82,0,42,0,40,41,0,1
SH344,53,0,103,-1,52,-17,50,51,2,1
SH345,42,2,75,0,42,0,33,34,0,1
SH346,37,4,106,0,18,0,68,88,20,1
SH347,49,-1,81,0,50,5,33,32,0,1
SH348,46,0,77,5,46,0,31,30,0,1
SH349,56,4,95,0,44,26,40,51,12,4
SH350,41,1,107,0,38,-7,66,68,2,1
SH351,56,0,77,0,10,5,22,67,46,4
SH352,37,0,76,-2,26,1,39,50,12,1
SH353,44,-4,77,0,44,4,34,34,0,1
SH354,49,-2,83,0,50,0,34,34,0,1
SH355,56,0,78,0,12,19,22,65,42,4
SH356,52,2,81,0,52,0,29,29,0,1
SH357,37,0,77,0,2,-11,40,75,34,1
SH358,55,0,82,0,-24,-16,26,108,82,4
SH359,37,0,83,0,6,-5,47,78,32,1
SH360,55,0,95,0,46,27,40,49,8,4
SH361,46,4,77,0,44,-21,32,34,2,1
SH362,51,1,81,0,52,12,29,29,0,1
SH363,37,0,106,0,28,-9,69,78,8,1
SH364,54,3,83,-3,54,0,29,29,0,1
SH365,102,0,103,0,72,24,1,31,30,5
SH366,62,0,109,0,62,23,48,47,0,1
SH367,55,0,93,0,50,25,37,44,6,4
SH368,44,0,82,1,44,1,38,38,0,1
SH369,45,4,87,-1,44,0,42,43,2,1
SH370,45,0,81,0,44,-3,36,37,2,1
SH371,56,0,77,0,20,-28,22,57,36,4
SH372,37,-1,76,-3,20,-7,39,55,16,1
SH373,56,0,79,0,12,11,23,66,42,4
SH374,45,0,88,2,44,0,44,44,0,1
SH375,44,0,87,-5,44,0,43,43,0,1
SH376,37,-3,77,0,38,8,39,38,0,1
SH377,37,0,77,1,20,0,40,56,16,1
SH378,37,-15,78,0,10,0,42,68,26,1
SH379,56,1,80,0,56,1,24,23,0,1
SH380,47,-4,86,0,46,0,39,39,0,1
SH381,49,-4,107,-1,50,0,58,58,0,1
SH382,57,0,82,0,56,0,25,25,0,1
SH383,41,1,108,0,42,10,66,66,0,1
SH384,37,0,79,0,10,13,42,68,26,1
SH385,62,-2,108,0,60,0,45,48,2,1
SH386,43,0,86,0,44,21,43,42,0,1
SH387,55,0,87,-1,56,18,32,30,0,1
SH388,47,-1,86,-2,46,0,39,39,0,1
SH389,45,-4,81,1,44,-21,36,37,2,1
SH390,57,0,88,-1,56,0,31,31,0,1
SH391,37,0,76,0,30,-23,40,45,6,1
SH392,41,-1,100,0,42,0,59,59,0,1
SH393,49,-1,79,0,50,1,30,30,0,1
SH394,37,0,104,-2,16,-14,67,89,22,1
SH395,55,0,92,0,30,-7,37,61,24,4
SH396,107,-2,108,-1,70,-23,1,38,38,5
SH397,55,0,98,-3,50,18,42,49,6,4
SH398,56,3,85,0,56,23,29,28,0,1
SH399,44,2,83,0,44,9,39,39,0,1
SH400,49,-1,86,0,50,4,37,37,0,1
SH401,37,0,78,0,8,21,41,70,30,1
SH402,106,0,107,-5,70,0,1,37,36,5
SH403,37,0,78,0,12,-9,41,65,24,1
SH404,43,0,102,0,44,15,59,58,0,1
SH405,56,0,92,0,56,0,36,35,0,1
SH406,42,0,79,6,42,0,36,37,2,1
SH407,37,0,93,-7,12,0,55,80,24,1
SH408,66,0,109,0,68,4,43,42,0,1
SH409,39,0,79,-1,38,-2,41,41,0,1
SH410,37,0,79,3,8,0,42,71,30,1
SH411,84,1,87,0,-4,0,3,92,88,5
SH412,51,-4,86,0,52,17,35,34,0,1
SH413,52,-3,84,0,52,0,31,32,0,1
SH414,49,0,95,0,46,-6,47,49,2,1
SH415,37,0,95,0,18,22,58,77,20,1
SH416,50,-3,81,0,50,0,31,32,2,1
SH417,44,0,81,2,42,-12,37,39,2,1
SH418,37,0,76,0,20,-20,40,55,16,1
SH419,45,0,82,0,44,-11,37,38,2,1
SH420,37,0,78,0,2,-24,42,75,34,1
SH421,43,0,81,-7,42,0,38,40,2,1
SH422,41,-1,81,0,42,0,39,39,0,1
SH423,55,0,82,0,-38,-6,26,121,94,4
SH424,45,-1,88,0,44,0,44,44,0,1
SH425,37,0,106,0,34,-12,69,72,4,1
SH426,45,0,79,0,46,5,34,33,0,1
SH427,37,0,79,0,10,224,42,69,26,1
SH428,76,0,81,8,-40,9,5,122,116,5
SH429,44,-1,85,0,44,3,41,41,0,1
SH430,43,-1,76,0,44,19,32,32,0,1
SH431,56,-2,97,2,42,-16,41,56,14,4
SH432,56,2,88,0,54,-5,32,33,2,1
SH433,48,0,81,-4,46,0,32,34,2,1
SH434,55,1,77,0,54,0,23,23,0,1
SH435,37,2,97,0,34,-2,60,64,4,1
SH436,55,0,78,-1,0,-3,23,78,56,4
SH437,56,0,96,4,34,0,40,62,22,4
SH438,44,0,86,0,42,-19,42,44,2,1
SH439,55,-4,96,0,50,0,41,47,6,4
SH440,37,0,78,0,-2,4,42,81,40,1
SH441,49,1,95,-3,50,0,46,46,0,1
SH442,37,0,95,1,10,0,58,84,26,1
SH443,44,0,99,-1,42,-16,56,58,2,1
SH444,107,-4,108,0,70,0,1,38,36,5
SH445,37,0,77,0,26,-7,41,52,10,1
SH446,56,0,86,1,56,0,31,30,0,1
SH447,56,0,76,0,-12,-19,20,89,68,4
SH448,42,0,80,-7,42,0,38,39,0,1
SH449,37,0,76,0,36,3,39,39,0,1
SH450,80,1,84,0,-28,0,4,112,108,5
SH451,45,3,79,0,44,-2,34,35,2,1
SH452,43,0,89,5,42,0,46,48,2,1
SH453,44,1,86,0,44,4,43,42,0,1
SH454,50,-1,86,0,50,-1,36,37,0,1
SH455,51,-1,86,0,50,-6,36,37,2,1
SH456,45,-1,78,-6,46,14,33,32,0,1
SH457,46,0,86,0,46,4,41,40,0,1
SH458,37,0,83,0,30,-23,46,52,6,1
SH459,42,5,84,1,42,0,42,43,0,1
SH460,56,0,89,0,56,0,33,32,0,1
SH461,37,0,79,-5,26,0,43,54,10,1
SH462,42,-1,88,0,42,0,45,46,2,1
SH463,37,0,75,0,20,5,38,54,16,1
SH464,37,0,96,0,18,-29,59,78,18,1
SH465,85,0,89,0,6,26,4,84,80,5
SH466,56,0,96,-2,52,-1,40,44,4,4
SH467,53,0,84,0,54,11,32,30,0,1
SH468,56,0,79,-1,6,-3,23,74,50,4
SH469,37,0,81,0,24,-18,44,57,14,1
SH470,37,0,77,5,26,0,40,51,10,1
SH471,41,0,76,0,42,25,35,35,0,1
SH472,41,-5,88,0,42,10,47,46,0,1
SH473,45,-4,107,0,44,-19,62,63,2,1
SH474,56,0,107,0,56,26,51,50,0,1
SH475,49,1,106,0,46,-3,58,60,2,1
SH476,45,1,86,-3,44,0,40,42,2,1
SH477,50,-2,81,-6,50,-8,32,32,0,1
SH478,48,-2,95,0,46,-3,47,49,2,1
SH479,56,0,97,-2,52,1,41,45,4,4
SH480,56,0,93,2,46,0,37,46,10,4
SH481,37,0,83,-1,18,0,47,65,18,1
SH482,41,0,82,0,38,-21,41,43,2,1
SH483,55,0,77,1,-18,8,21,95,74,4
SH484,62,0,109,0,62,11,48,47,0,1
SH485,56,0,97,0,52,21,41,46,4,4
SH486,43,-2,77,0,42,-16,34,36,2,1
SH487,50,0,110,1,50,0,60,61,2,1
SH488,37,0,77,0,34,-2,40,44,4,1
SH489,48,-4,79,0,46,0,31,33,2,1
SH490,37,0,77,0,0,-10,40,77,36,1
SH491,49,1,78,0,50,14,29,29,0,1
SH492,55,1,81,0,54,0,27,27,0,1
SH493,58,3,81,-5,56,0,24,24,0,1
SH494,37,0,81,5,34,1,43,47,4,1
SH495,46,-2,93,3,46,5,47,46,0,1
SH496,41,-3,78,0,42,12,37,37,0,1
SH497,46,5,86,0,46,7,40,39,0,1
SH498,56,0,96,0,54,14,40,42,2,1
SH499,42,-3,99,0,42,0,57,58,2,1
SH500,45,-3,85,-1,44,0,41,41,0,1
SH501,41,0,81,0,42,17,40,39,0,1
SH502,46,0,88,0,44,-26,42,44,2,1
SH503,80,-4,84,0,-14,0,4,99,96,5
SH504,85,0,88,1,-2,0,3,91,88,5
SH505,37,0,75,0,26,23,38,49,12,1
SH506,56,-1,96,0,54,3,40,42,2,1
SH507,55,0,78,0,6,-31,23,73,50,4
SH508,55,-1,79,-6,20,-20,24,59,34,4
SH509,41,2,86,5,42,10,45,45,0,1
SH510,37,0,77,0,26,-2,41,52,10,1
SH511,83,0,86,0,-6,-21,3,94,90,5
SH512,56,1,77,0,16,-1,22,62,40,4
SH513,41,-2,81,0,42,6,40,39,0,1
SH514,55,0,78,0,24,-24,23,55,32,4
SH515,44,-3,86,0,44,0,42,42,0,1
SH516,44,2,84,0,44,15,40,40,0,1
SH517,44,0,76,1,44,8,32,32,0,1
SH518,37,0,77,0,28,511,40,48,8,1
SH519,37,0,81,0,24,-5,44,57,14,1
SH520,44,3,76,0,44,12,32,32,0,1
SH521,37,0,77,-1,34,2,40,43,4,1
SH522,37,0,79,0,36,-8,42,43,2,1
SH523,54,-1,82,0,54,0,28,28,0,1
SH524,49,0,95,2,50,1,46,46,0,1
SH525,37,0,76,0,28,24,39,48,8,1
SH526,44,1,86,0,44,22,42,42,0,1
SH527,45,0,77,0,44,-14,32,34,2,1
SH528,42,-2,85,0,42,0,43,44,0,1
SH529,51,0,83,0,52,9,32,32,0,1
SH530,37,0,78,-4,28,0,41,50,8,1
SH531,42,0,78,-3,42,0,37,37,0,1
SH532,55,0,96,1,42,-5,41,55,14,4
SH533,47,0,76,7,46,0,30,30,0,1
SH534,57,0,82,5,56,0,25,25,0,1
SH535,56,0,95,0,54,1,39,41,2,1
SH536,55,0,82,0,-12,-13,26,95,68,4
SH537,56,5,80,0,-2,4,24,83,58,4
SH538,105,0,106,-3,72,8,1,34,34,5
SH539,56,0,82,0,56,27,26,25,0,1
SH540,45,0,77,0,46,31,31,30,0,1
SH541,57,0,81,3,56,0,24,24,0,1
SH542,59,0,86,0,60,3,28,27,0,1
SH543,55,1,96,4,50,0,41,47,6,4
SH544,37,0,81,0,20,6,44,60,16,1
SH545,43,0,77,-7,42,0,34,36,2,1
SH546,51,5,102,0,52,9,51,50,0,1
SH547,37,0,95,-2,18,-10,58,77,18,1
SH548,56,0,77,0,-10,5,21,87,66,4
SH549,37,0,81,0,38,9,43,42,0,1
SH550,58,0,88,5,56,0,30,31,2,1
SH551,37,0,106,0,24,-2,69,83,14,1
SH552,43,-2,81,0,42,-10,37,39,2,1
SH553,42,4,86,0,42,0,43,44,2,1
SH554,43,-1,83,0,42,-3,40,42,2,1
SH555,43,1,102,0,42,0,60,61,2,1
SH556,56,0,90,0,54,-16,34,35,2,1
SH557,44,0,86,-2,42,-30,42,44,2,1
SH558,43,0,86,2,42,-1,43,45,2,1
SH559,55,0,77,-4,28,-12,21,48,28,4
SH560,37,0,106,7,36,0,69,70,2,1
SH561,64,0,113,0,62,-12,48,51,2,1
