LR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,class
LR69,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,Y
LR70,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,H
LR71,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,Q
LR72,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,Q
LR73,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,Q
LR74,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,J
LR75,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,J
LR76,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,D
LR77,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,R
LR78,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,M
LR79,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,A
LR80,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,N
LR81,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,M
LR82,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,P
LR83,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,C
LR84,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,P
LR85,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,N
LR86,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,W
LR87,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,V
LR88,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,V
LR89,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,M
LR90,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,E
LR91,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,N
LR92,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,Y
LR93,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,W
LR94,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,O
LR95,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,N
LR96,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,H
LR97,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,O
LR98,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,N
LR99,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,H
LR100,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,U
LR101,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,Y
LR102,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,S
LR103,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,S
LR104,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,T
LR105,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,C
LR106,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,V
LR107,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,T
LR108,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,K
LR109,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,D
LR110,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,W
LR111,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,I
LR112,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,E
LR113,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,F
LR114,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,I
LR115,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,H
LR116,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,U
LR117,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,C
LR118,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,F
LR119,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,A
LR120,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,Z
LR121,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,X
LR122,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,N
LR123,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,R
LR124,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,B
LR125,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,B
LR126,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,U
LR127,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,J
LR128,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,F
LR129,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,M
LR130,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,H
LR131,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,A
LR132,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,O
LR133,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,E
LR134,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,U
LR135,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,A
LR136,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,X
LR137,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,S
LR138,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,J
LR139,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,K
LR140,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,I
LR141,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,P
LR142,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,T
LR143,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,C
LR144,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,H
LR145,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,A
LR146,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,L
LR147,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,T
LR148,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,A
LR149,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,V
LR150,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,U
LR151,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,I
LR152,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,Z
LR153,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,V
LR154,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,M
LR155,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,L
LR156,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,O
LR157,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,B
LR158,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,A
LR159,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,K
LR160,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,H
LR161,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,T
LR162,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,W
LR163,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,F
LR164,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,A
LR165,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,E
LR166,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,M
LR167,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,B
LR168,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,M
LR169,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,Y
LR170,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,V
LR171,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,S
LR172,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,C
LR173,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,H
LR174,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,U
LR175,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,P
LR176,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,Z
LR177,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,E
LR178,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,N
LR179,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,P
LR180,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,H
LR181,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,T
LR182,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,B
LR183,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,U
LR184,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,S
LR185,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,F
LR186,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,J
LR187,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,R
LR188,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,E
LR189,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,P
LR190,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,I
LR191,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,K
LR192,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,D
LR193,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,B
LR194,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,H
LR195,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,M
LR196,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,P
LR197,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,O
LR198,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,S
LR199,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,K
LR200,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,V
LR201,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,F
LR202,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,Y
LR203,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,D
LR204,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,Z
LR205,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,Q
LR206,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,S
LR207,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,B
LR208,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,K
LR209,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,V
LR210,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,B
LR211,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,Y
LR212,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,O
LR213,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,Z
LR214,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,L
LR215,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,J
LR216,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,Z
LR217,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,A
LR218,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,L
LR219,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,J
LR220,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,Q
LR221,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,N
LR222,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,Z
LR223,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,E
LR224,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,J
LR225,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,D
LR226,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,O
LR227,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,L
LR228,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,V
LR229,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,X
LR230,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,J
LR231,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,N
LR232,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,H
LR233,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,A
LR234,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,P
LR235,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,A
LR236,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,F
LR237,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,X
LR238,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,D
LR239,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,V
LR240,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,P
LR241,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,F
LR242,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,P
LR243,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,Y
LR244,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,W
LR245,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,P
LR246,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,J
LR247,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,E
LR248,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,S
LR249,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,E
LR250,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,B
LR251,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,I
LR252,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,S
LR253,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,S
LR254,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,C
LR255,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,M
LR256,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,P
LR257,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,R
LR258,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,U
LR259,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,U
LR260,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,D
LR261,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,U
LR262,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,J
LR263,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,Z
LR264,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,F
LR265,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,V
LR266,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,M
LR267,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,U
LR268,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,B
LR269,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,L
LR270,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,T
LR271,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,D
LR272,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,T
LR273,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,O
LR274,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,T
LR275,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,U
LR276,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,D
LR277,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,R
LR278,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,G
LR279,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,D
LR280,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,S
LR281,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,S
LR282,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,M
LR283,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,M
LR284,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,D
LR285,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,Z
LR286,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,W
LR287,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,C
LR288,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,K
LR289,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,J
LR290,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,A
LR291,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,D
LR292,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,C
LR293,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,V
LR294,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,S
LR295,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,F
LR296,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,A
LR297,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,B
LR298,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,N
LR299,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,U
LR300,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,S
LR301,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,Q
LR302,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,F
LR303,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,F
LR304,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,X
LR305,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,A
LR306,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,B
LR307,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,O
LR308,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,J
LR309,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,H
LR310,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,M
LR311,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,I
LR312,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,W
LR313,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,N
LR314,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,A
LR315,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,S
LR316,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,P
LR317,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,D
LR318,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,M
LR319,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,T
LR320,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,L
LR321,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,X
LR322,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,G
LR323,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,D
LR324,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,E
LR325,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,N
LR326,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,G
LR327,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,V
LR328,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,A
LR329,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,E
LR330,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,K
LR331,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,M
LR332,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,L
LR333,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,T
LR334,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,G
LR335,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,J
LR336,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,F
LR337,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,W
LR338,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,A
LR339,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,K
LR340,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,P
LR341,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,M
LR342,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,O
LR343,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,S
LR344,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,C
LR345,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,O
LR346,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,Z
LR347,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,X
LR348,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,W
LR349,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,B
LR350,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,C
LR351,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,F
LR352,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,I
LR353,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,B
LR354,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,P
LR355,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,K
LR356,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5,U
LR357,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,N
LR358,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,Y
LR359,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8,I
LR360,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9,Q
LR361,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8,Q
LR362,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,Z
LR363,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,F
LR364,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,M
