id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,class
140,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
141,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
142,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,1,0
143,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
144,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
145,0,2,0,0,0,1,1,1,1,1,0,0,0,1,0,2,1
146,0,0,1,0,0,1,1,1,1,1,0,0,0,1,2,1,1
147,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
148,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
149,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
150,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1
151,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
152,1,1,2,1,1,1,0,0,1,0,1,2,1,1,0,0,1
153,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
154,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
155,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
156,1,1,0,1,1,1,0,2,0,0,1,1,1,1,0,0,0
157,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0
158,0,1,1,0,0,1,0,1,1,0,1,0,2,2,2,2,1
159,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
160,0,1,1,0,2,1,1,1,1,1,1,0,0,2,0,2,1
161,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
162,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1
163,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1
164,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
165,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,2,1
166,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,2,1
167,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
168,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
169,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,2,1
170,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1
171,1,0,1,0,0,0,2,1,1,2,0,0,0,0,1,2,1
172,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
173,0,1,1,0,0,0,1,1,1,1,0,0,2,0,1,1,1
174,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
175,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
176,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
177,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0
178,0,0,1,0,0,0,1,1,1,1,1,2,0,0,1,1,1
179,2,0,1,0,0,0,1,1,1,1,1,2,0,0,1,2,1
180,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
181,2,2,1,0,0,0,1,1,1,2,2,0,0,0,2,2,1
182,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
183,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
184,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
185,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
186,1,0,1,0,0,0,1,1,1,1,0,2,0,0,1,1,1
187,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
188,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
189,1,2,0,1,1,1,1,1,0,0,0,1,2,1,2,2,0
190,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
191,0,2,0,1,1,1,0,0,0,0,0,1,1,1,0,2,0
192,0,1,0,1,1,1,0,2,0,1,0,1,1,1,0,2,0
193,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1
194,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
195,0,0,1,0,0,1,1,2,1,1,1,0,0,0,1,1,1
196,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,2,0
197,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,2,1
198,0,2,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
199,0,0,1,0,0,0,1,1,1,1,1,0,2,0,1,2,1
200,1,1,0,0,0,0,1,1,2,0,1,0,0,0,1,2,1
201,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
202,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
203,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
204,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
205,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0
206,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1
207,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
208,1,2,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
209,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1
210,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
211,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
212,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
213,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
214,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1
215,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
216,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,1
217,1,1,1,0,1,1,0,0,2,1,0,0,0,1,1,2,1
218,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
219,1,2,1,0,0,0,1,1,1,0,2,0,0,0,1,2,1
220,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1
221,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
222,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2,1
223,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,2,1
224,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
225,0,1,0,1,1,1,0,0,0,1,0,2,1,1,0,0,0
226,0,2,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
227,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
228,1,0,1,0,0,0,1,1,1,0,0,0,0,0,2,1,1
229,0,1,0,1,1,1,0,0,0,0,0,1,1,2,0,1,0
230,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
231,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
232,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0
233,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,2,1
234,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
235,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,2,1
236,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
237,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
238,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1
239,1,1,1,0,0,0,1,1,2,1,0,0,0,0,1,2,1
240,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
241,0,0,0,1,0,1,1,2,1,0,0,1,1,1,0,1,0
242,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
243,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,1,0
244,0,1,1,0,0,0,1,1,2,1,0,0,1,0,1,1,1
245,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
246,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
247,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,1,1
248,0,1,0,1,1,1,2,0,0,0,0,2,1,1,0,0,0
249,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
250,1,0,1,0,0,0,1,1,2,0,1,0,0,0,1,1,1
251,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
252,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
253,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
254,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
255,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
256,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
257,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
258,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0
259,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
260,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
261,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
262,1,0,1,0,0,2,1,1,1,0,2,2,0,2,2,2,1
263,1,0,1,0,0,0,1,1,1,1,0,0,2,0,1,1,1
264,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
265,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
266,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
267,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
268,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0
269,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
270,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
271,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
272,0,1,1,0,0,1,1,1,1,0,2,0,0,0,0,1,1
273,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,1
274,0,0,0,1,1,0,1,1,0,1,0,1,1,1,2,1,0
275,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
276,0,0,1,0,1,1,0,0,0,0,2,0,1,1,0,0,1
277,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
278,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
279,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
280,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
281,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1
282,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,2,0
283,1,0,0,1,1,1,0,0,0,1,0,2,1,1,0,0,0
284,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
285,0,0,1,0,0,1,1,1,1,1,1,0,0,0,2,1,1
286,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
287,0,0,1,0,0,1,2,1,2,1,1,1,0,1,1,2,1
288,1,1,1,2,0,1,1,1,1,0,1,0,1,0,2,1,1
289,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
290,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,2,1
291,1,0,1,0,2,1,2,1,1,1,0,0,1,1,0,1,1
292,1,0,1,0,0,1,1,1,1,1,0,2,0,1,0,1,1
293,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1
294,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
295,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,2,1
296,0,1,0,1,1,1,2,2,0,1,0,1,2,2,2,2,0
297,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
298,1,1,1,0,0,1,1,1,1,1,0,0,2,0,1,2,1
299,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
300,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1
301,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0
302,0,0,2,0,0,1,1,1,1,0,0,0,0,0,1,1,1
303,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
304,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
305,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,2,0
306,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
307,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
308,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,2,1
309,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
310,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
311,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
312,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
313,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
314,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0
315,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
316,0,1,1,1,1,1,1,2,0,0,0,0,2,2,1,2,0
317,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1
318,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
319,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
320,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
321,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1
322,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1
323,1,1,1,0,2,1,0,2,0,0,1,0,1,1,0,2,1
324,1,1,1,0,1,1,0,1,2,1,0,0,1,1,0,2,1
325,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
326,0,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,1
327,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
328,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
329,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
330,1,2,1,0,0,1,1,1,1,1,0,0,0,0,1,2,1
331,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
332,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
333,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,2,1
334,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
335,0,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,1
336,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,2,0
337,0,0,1,0,0,1,1,1,0,0,1,0,0,1,2,1,1
338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
339,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
340,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
341,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
342,0,2,1,2,0,1,1,1,1,1,1,0,2,2,1,1,1
343,0,1,1,0,1,2,1,0,0,1,1,0,1,0,1,1,1
344,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
345,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
346,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0
347,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
348,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
349,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,2,1
350,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
351,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
352,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
353,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,2,1
354,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
355,0,1,1,0,0,1,1,1,1,1,0,2,0,0,1,1,1
356,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0
357,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
358,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
359,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1
360,0,0,0,1,1,1,0,0,0,1,2,1,1,1,0,1,0
361,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
362,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,2,1
363,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
364,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
365,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0
366,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1
367,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,2,1
368,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,2,1
369,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1
370,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
371,1,1,1,0,2,1,1,1,0,1,2,2,0,0,1,1,1
372,1,1,1,0,2,0,1,1,1,1,0,0,0,0,1,2,1
373,0,1,1,1,1,1,0,0,0,0,1,1,2,1,0,0,1
374,0,1,1,2,1,1,0,1,0,1,2,0,1,1,2,1,1
375,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
376,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1
377,1,2,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
378,0,1,0,1,1,1,2,2,0,0,2,2,1,2,2,2,0
379,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
380,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
381,1,1,1,0,0,1,2,1,1,0,1,0,1,0,1,1,1
382,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,2,1
383,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,2,1
384,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
385,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1
386,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1
